COMUNIDAD_AUTONOMA$PROVINCIA$LOCALIDAD$DENOMINACIONGENERICA$DENOMINACIONESPECIFICA$CODIGO$NATURALEZA$DOMICILIO$CODPOSTAL$TELEFONO
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Abla$Centro de Educación de Adultos$Abla$04501032$San Segundo, 5                                                                  $04510$950359522
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Abla$Colegio de Educación Infantil y Primaria$Joaquín Tena Sicilia$04000018$San Segundo,  7                                                                 $04510$950359901
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Abla$Escuela Infantil$Abla$04009435$ San Segundo, 3$04510$950351032
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Abrucena$Colegio de Educación Infantil y Primaria$Antonio Relaño$04000021$Balsillas, 36                                                                   $04520$950359902
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Centro de Educación de Adultos$Mediterráneo$04500234$Marisma, 6                                                                      $04770$950579500
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Colegio de Educación Infantil y Primaria$Abdera$04602079$de los Gallos, s/n$04770$950579887
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Colegio de Educación Infantil y Primaria$Mare Nostrum$04000092$Estero, s/n                                                                     $04770$950579579
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Colegio de Educación Infantil y Primaria$Pedro Mena$04005399$Academia, 2                                                                     $04770$950579849
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Colegio de Educación Infantil y Primaria$San Fernando$04000080$Tarrasa, 20                                                                     $04770$950579877
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Colegio de Educación Infantil y Primaria$San Nicolás$04000079$Zacatín, 39                                                                     $04770$950579833
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Escuela Infantil$Mar Azul$04009447$Estero, s/n$04770$610735060
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Instituto de Educación Secundaria$Abdera$04000110$Marisma, 6                                                                      $04770$950400711
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Instituto de Educación Secundaria$Gaviota$04000134$Estero, 4                                                                       $04770$950579614
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Instituto de Educación Secundaria$Virgen del Mar$04700430$Trigo, 30                                                                       $04770$950579800
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Colegio de Educación Infantil y Primaria$Arco Iris$04005594$Celindo, 68                                                                     $04720$950156506
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Colegio de Educación Infantil y Primaria$Blas Infante$04601646$Jairán, 1$04720$950156887
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Colegio de Educación Infantil y Primaria$Francisco Sáiz Sanz$04602158$Sonora, 76                                                                      $04720$950156957
