COMUNIDAD_AUTONOMA$PROVINCIA$LOCALIDAD$DENOMINACIONGENERICA$DENOMINACIONESPECIFICA$CODIGO$DOMICILIO$CODPOSTAL$TELEFONO$LATITUD$LONGITUD$DIRECCION_GOOGLE
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Abla$Centro de Educación de Adultos$Abla$4501032$San Segundo, 5                                                                  $4510$950359522$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Abla$Colegio de Educación Infantil y Primaria$Joaquín Tena Sicilia$4000018$San Segundo,  7                                                                 $4510$950359901$37.1408687$-2.7795987$P.º San Segundo, 7, 04510 Abla, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Abla$Escuela Infantil$Abla$4009435$ San Segundo, 3$4510$950351032$37.14046250000001$-2.7798485$P.º San Segundo, 3, 04510 Abla, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Abrucena$Colegio de Educación Infantil y Primaria$Antonio Relaño$4000021$Balsillas, 36                                                                   $4520$950359902$37.1344525$-2.7930323$C. Balsillas, 36, 04520 Abrucena, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Centro de Educación de Adultos$Mediterráneo$4500234$Marisma, 6                                                                      $4770$950579500$36.7963773$-3.0676373$04770 Adra, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Colegio de Educación Infantil y Primaria$Abdera$4602079$de los Gallos, s/n$4770$950579887$36.7479022$-3.0163202$Adra, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Colegio de Educación Infantil y Primaria$Mare Nostrum$4000092$Estero, s/n                                                                     $4770$950579579$36.7472419$-3.0259256$C. Estero, 3, 04770 Adra, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Colegio de Educación Infantil y Primaria$Pedro Mena$4005399$Academia, 2                                                                     $4770$950579849$36.7495717$-3.0181137$C. Academia, 2, 04770 Adra, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Colegio de Educación Infantil y Primaria$San Fernando$4000080$Tarrasa, 20                                                                     $4770$950579877$36.7963773$-3.0676373$04770 Adra, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Colegio de Educación Infantil y Primaria$San Nicolás$4000079$Zacatín, 39                                                                     $4770$950579833$36.7476183$-3.019388$C. San Nicolás, 04770 Adra, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Escuela Infantil$Mar Azul$4009447$Estero, s/n$4770$610735060$36.7487598$-3.029525$C. Mar del Nte., 04770 Adra, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Instituto de Educación Secundaria$Abdera$4000110$Marisma, 6                                                                      $4770$950400711$36.7479022$-3.0163202$Adra, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Instituto de Educación Secundaria$Gaviota$4000134$Estero, 4                                                                       $4770$950579614$36.7464517$-3.0264635$C. Estero, 4, 04770 Adra, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Adra$Instituto de Educación Secundaria$Virgen del Mar$4700430$Trigo, 30                                                                       $4770$950579800$36.75229849999999$-3.0163737$C. Trigo, 30, 04770 Adra, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Colegio de Educación Infantil y Primaria$Arco Iris$4005594$Celindo, 68                                                                     $4720$950156506$36.816162$-2.5718122$04720 Aguadulce, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Colegio de Educación Infantil y Primaria$Blas Infante$4601646$Jairán, 1$4720$950156887$36.816162$-2.5718122$04720 Aguadulce, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Colegio de Educación Infantil y Primaria$Francisco Sáiz Sanz$4602158$Sonora, 76                                                                      $4720$950156957$36.8167546$-2.5723194$C. Sonora, 76, 04720 Aguadulce, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Colegio de Educación Infantil y Primaria$Torrequebrada$4004383$Costa Brava, s/n. Torrequebrada                                                 $4721$950156626$36.816162$-2.5718122$04720 Aguadulce, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Colegio de Educación Infantil y Primaria$Trinidad Martínez$4003706$Arizona, 29                                                                     $4720$950156756$36.82028409999999$-2.5759506$C. Arizona, s/n, 04720 Aguadulce, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Colegio de Educación Infantil y Primaria$Virgilio Valdivia$4006410$Gran Canaria, s/n                                                               $4720$671599958$36.8168037$-2.58352$C. Puerto de la Luz, 4, 04720 Roquetas de Mar, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Instituto de Educación Secundaria$Aguadulce$4700260$Alhambra, 11                                                                    $4720$950156742$36.8166805$-2.577692$Av. de Carlos III, 419, 04720 Aguadulce, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Instituto de Educación Secundaria$Carlos III$4700673$de los Motores, s/n. Bda. La Gloria                                             $4720$950156811$36.8151496$-2.5692604$Av. de Carlos III, 04720 Aguadulce, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Aguadulce$Instituto de Educación Secundaria$Mar Mediterráneo$4006045$Parcela 4-Sector 4º, junto a Palacios de Congresos                              $4720$950156963$36.816162$-2.5718122$04720 Aguadulce, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albánchez$Centro de Educación de Adultos$El Manantial (Albanchez-Líjar)$4501123$Real, 1. Edificio Cámara Agraria                                                $4857$950122001$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albánchez$Colegio Público Rural$Filabres$4601981$Almería, 28                                                                     $4857$950639579$37.2834943$-2.1824277$C. Almeria, 0, 04857 Albánchez, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alboloduy$Colegio Público Rural$Azahar$4008686$Ruedos del Pueblo, s/n                                                          $4531$950156848$37.032996$-2.6210982$04531 Alboloduy, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alboloduy$Escuela Infantil$La Chimenea de las Hadas$4009873$Ruedos del Pueblo, s/n$4531$633967917$37.032653$-2.6196492$04531 Alboloduy, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Centro de Educación de Adultos$Blas Infante$4500908$Monterroel, nº 33                                                               $4800$950639638$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Colegio de Educación Infantil y Primaria$Velázquez$4000213$Buenavista, s/n                                                                 $4800$950639913$37.3881024$-2.1417503$Albox, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Colegio de Educación Infantil y Primaria$Virgen del Saliente$4000225$Aljara, s/n                                                                     $4800$950639544$37.386822$-2.1404226$Calle Antonio Villalba Pedrosa, s/n, 04800 Albox, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Colegio Público Rural$Medio Almanzora II$4601993$Pago Aljara, s/n                                                                $4800$950639912$37.4237589$-2.1641732$C. Alzabaras, 8, 04813 Albox, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Conservatorio Elemental de Música$Emilia Peña$4700201$Rosario, 27                                                                     $4800$950639551$37.3877639$-2.1474246$C. Rosario, 27, 04800 Albox, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Escuela Infantil$Albox$4009459$Poeta Juan Berbel, s/n$4800$950120089$37.391564$-2.1457369$C. Poeta Juan Berbel, 0, 04800 Albox, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Escuela Municipal de Música$D.Bartolomé Marín López$4001904$Buenavista, s/n                                                                 $4800$950120908$37.3881024$-2.1417503$Albox, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Instituto de Educación Secundaria$Cardenal Cisneros$4000250$de América, s/n                                                                 $4800$950639900$37.3840505$-2.1411768$Av. América, 12, 04800 Albox, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Instituto de Educación Secundaria$Martín García Ramos$4005284$de la Estación, 8                                                               $4800$697951168$37.3862458$-2.1487448$Ctra. de la Estación, 8, 04800 Albox, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alcolea$Centro de Educación de Adultos$San Sebastián$4500180$Carretera, 21                                                                   $4480$950608135$36.9730578$-2.9606844$04480 Alcolea, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alcolea$Colegio Público Rural$Alcolea-Fondón$4602092$Río de Alcolea, 1                                                               $4480$950515542$36.9730578$-2.9606844$04480 Alcolea, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alcolea$Escuela Infantil$Alcolea$4009460$Río Alcolea, 3$4480$950512000$36.9725752$-2.9608264$Alcolea, 04480 Alcolea, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alhabia$Colegio de Educación Infantil y Primaria$Juan XXIII$4000365$Calvario, 1                                                                     $4567$950156857$36.9898027$-2.5873053$04567 Alhabia, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alhama de Almería$Centro de Educación de Adultos$Alhama de Almería$4500039$Inmaculada, s/n                                                                 $4400$950156670$36.9573355$-2.5680946$04400 Alhama de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alhama de Almería$Colegio de Educación Infantil y Primaria$Inmaculada Concepción$4000377$Alcalde Juan Martínez Rodríguez, s/n$4400$950156859$36.9610291$-2.5706457$Calle Alcalde Juan Martínez Rodríguez, 04400 Alhama de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alhama de Almería$Escuela Infantil$María del Mar Contreras Domínguez$4009423$Camino de la Fuente, s/n$4400$696840659$36.9573355$-2.5680946$04400 Alhama de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alhama de Almería$Instituto de Educación Secundaria$Cerro Milano$4700259$Gador-Laujar, s/n                                                               $4400$950156736$36.9598105$-2.5756324$C. Catedrático Joaquin Rodriguez, 1, 04400 Alhama de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alicún$Colegio de Educación Infantil y Primaria$Alicún-Huécija$4602109$de Alicún a Huécija                                                             $4409$950156898$36.9685512$-2.6047739$Calle de la Carretera, 0, 04409 Alicún, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Alcazaba$4500581$Cervantes, 4                                                                    $4003$950153302$36.8400107$-2.4701489$C. Almanzor, s/n, 04002 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Almariya$4501093$Virgen de las Angustias, s/n                                                    $4009$671593042$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Azorín$4501135$Arcipreste de Hita, 26                                                          $4006$950153109$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Barrio Alto$4500660$Béjar, 19                                                                       $4005$647756718$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$El Puche$4500672$Marenostrum, 1                                                                  $4009$950156520$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Fuentecica$4500696$Fernando de Rojas, 4 C.P. Alfredo Molina Martín                                 $4008$950156638$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Infanta Leonor-Los Almendros$4500726$Los Almendros, s/n. C.P. Los Almendros                                          $4009$671599994$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$La Chanca$4500763$del Mar s/n                                                                     $4002$950156636$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Los Molinos$4500659$Carrera del Mamí, n.º 110                                                       $4009$950228781$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Quemadero$4500684$Largo Caballero, 41, Bajo                                                       $4008$950156629$36.8686786$-2.5049414$04008 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Quinientas Viviendas$4500751$Gijón nº1                                                                       $4007$950156581$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Retamar$4500775$de los Úbeda, s/n                                                               $4071$950153102$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$San Luis-Torrecárdenas$4501101$de Alhadra s/n                                                                  $4009$950156621$36.8602143$-2.4447288$Torre Cárdenas, 04009 Almería, Spain
